Profile Name,Start Time,Duration,Title
Berkay,2023-05-16 22:20:48,00:00:09,SpongeBob SquarePants: Season 8_hook_primary_16x9
Berkay,2023-05-16 22:00:15,00:19:38,The Queen's Gambit: Limited Series: Adjournment (Episode 6)
Berkay,2023-05-16 21:11:47,00:47:26,The Queen's Gambit: Limited Series: Fork (Episode 5)
Berkay,2023-05-16 21:11:28,00:00:05,Season 1 Teaser 2: Arcane
Berkay,2023-05-16 21:11:17,00:00:04,Trailer: The Mother
Berkay,2023-05-16 21:10:38,00:00:14,Sex Education: Season 1 (Bumper 2: Yearbook)
Berkay,2023-05-16 21:10:35,00:00:04,Scarface_hook_primary_16x9
Berkay,2023-05-16 21:10:23,00:00:05,Peaky Blinders: Season 1_hook_primary_16x9
Berkay,2023-05-16 21:08:17,00:00:20,Girl from Nowhere Season 2_Clip_3
Berkay,2023-05-16 12:50:12,00:00:03,The Queen's Gambit: Limited Series: Fork (Episode 5)
Berkay,2023-05-16 11:59:16,00:47:54,The Queen's Gambit: Limited Series: Middle Game (Episode 4)
Berkay,2023-05-16 06:02:39,00:05:28,The Queen's Gambit: Limited Series: Doubled Pawns (Episode 3)
Berkay,2023-05-15 23:07:00,00:43:06,The Queen's Gambit: Limited Series: Doubled Pawns (Episode 3)
Berkay,2023-05-15 22:01:17,01:04:26,The Queen's Gambit: Limited Series: Exchanges (Episode 2)
Berkay,2023-05-15 20:53:16,01:01:01,The Queen's Gambit: Limited Series: Openings (Episode 1)
Berkay,2023-05-15 20:53:10,00:00:05,Clip 2: The Queen's Gambit: Season 1
Berkay,2023-05-15 20:52:12,00:00:22,Clip 2: The Queen's Gambit: Season 1
Berkay,2023-05-15 20:51:33,00:00:35,The Midnight Gospel: Season 1 PVS Trailer A
Berkay,2023-05-15 16:10:07,00:00:04,Season 2 Moment of High Emotion Clip: ULTRAMAN
Berkay,2023-05-15 16:09:48,00:00:05,Genre Specific Moment Clip: Violet Evergarden: Recollections
Berkay,2023-05-15 16:09:41,00:00:06,Violet Evergarden the Movie_hook_02_16x9
Berkay,2023-05-15 16:09:26,00:00:11,Genre Specific Moment Clip: Violet Evergarden: Recollections
Berkay,2023-05-15 16:08:50,00:00:19,Mononoke: Season 1_hook_01_16x9
Berkay,2023-05-15 16:08:18,00:00:07,Season 1 Genre Specific Moment Clip: Kotaro Lives Alone
Berkay,2023-05-15 15:50:27,00:01:17,Season 5 Trailer: Better Call Saul
Berkay,2023-05-15 15:11:34,00:38:03,El Camino: A Breaking Bad Movie
Berkay,2023-05-15 11:11:22,00:00:04,El Camino: A Breaking Bad Movie
Berkay,2023-05-14 13:31:00,00:57:50,El Camino: A Breaking Bad Movie
Berkay,2023-05-14 12:40:16,00:25:23,El Camino: A Breaking Bad Movie
Berkay,2023-05-14 12:39:59,00:00:15,Breaking Bad: Season 1_hook_primary_16x9
Berkay,2023-05-14 12:39:52,00:00:06,Breaking Bad: Season 1_hook_primary_16x9
Berkay,2023-05-14 11:37:27,00:56:26,Breaking Bad: Season 5: Felina (Episode 16)
Berkay,2023-05-14 11:01:37,00:32:51,Breaking Bad: Season 5: Granite State (Episode 15)
Berkay,2023-05-14 11:01:21,00:00:04,Breaking Bad: Season 2: Bit by a Dead Bee (Episode 3)
